,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_000474905,,,,,,,,,I,,,R,,,,,
GCA_000492195,,,,,,,,R,,,,,,,,,
GCA_000492295,,,,,,,,S,,,,,,,,,
GCA_000492695,S,I,S,S,S,S,,,,S,S,S,S,,,S,S
GCA_000492735,S,S,I,S,R,S,,,,S,S,S,S,R,,S,S
GCA_000566865,,,R,,,,,,,,,,,,,R,
GCA_000567025,,,,,,,,,,,,,,,,,
GCA_000567185,,,,,,,,,,,,,,,,,
GCA_000567205,,,,,,,,,,,,,,,,,
GCA_000567225,,,,R,,,,,,,,,,,,,
GCA_000567245,,,,,,,,,,,,,,,,,
GCA_000567265,,,,,,,,,,,,,,,,,
GCA_000567285,R,,,,,,,,,,,,,,,,
GCA_000567325,,,,,,,,,,,,,,,,,
GCA_000567345,,,,,,,,,,,,R,,,,,
GCA_000567365,,,,,,,,,,,,R,,,,,
GCA_000567385,,,,,,,,,,,,,,,,,
GCA_000567405,,,,,,,,,,,,R,,,,,
GCA_000567445,,,,,,,,,,,,R,,,,,
GCA_000567485,,,,,,,,,S,,,R,,,,,
GCA_000567505,,,,,,,,,,,,,,,,,
GCA_000567545,S,,,R,R,R,,,,R,R,,,,,,
GCA_000567565,S,R,R,S,R,R,,,,R,R,,,R,,R,R
GCA_000567585,R,,,,R,R,,,,R,R,,R,,,R,
GCA_000567605,S,I,R,R,R,S,,,,S,S,,,R,,,S
GCA_000567625,R,R,R,S,R,R,,,,S,R,,,R,,,R
GCA_000633735,R,R,R,R,R,R,,,,S,R,R,R,R,,R,R
GCA_000633755,I,R,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000633775,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000688535,S,,R,S,R,R,,,,S,S,R,R,R,,R,R
GCA_000688555,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000688635,I,,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000692915,,,,,,,,,,,,R,,,,,
GCA_000692935,,,,,,,,,,,,,,,,,
GCA_000692975,,,,,,,,,,,,,,,,,
GCA_000693015,,,,,,,,,,,,,,,,,
GCA_000693135,S,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693155,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693175,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693195,R,,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693215,I,,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693235,S,,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693255,R,,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693275,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693295,I,,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693315,R,,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693335,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693355,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693375,R,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693395,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693415,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693435,S,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693455,R,,R,S,R,R,,,,S,R,R,R,R,,R,R
GCA_000693475,S,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693495,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693515,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693535,R,R,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693555,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693575,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693595,S,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693615,R,R,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693635,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000693655,I,R,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000693675,I,,R,R,R,R,,,,R,R,R,R,R,,R,R
